"lang","class","subject","question","option1","option2","option3","option4","answer","difficulty","topic"
"en","9","English","How did Gerrard finally overpower the intruder?","Locked him in cupboard","Called police","Hit him","Escaped","Locked him in cupboard","medium","General"
"hi","9","English","गेरार्ड ने अंत में घुसपैठिए को कैसे काबू किया?","उसे अलमारी में बंद कर दिया","पुलिस को बुलाया","उसे मारा","भाग गया","उसे अलमारी में बंद कर दिया","medium","General"
"mr","9","English","गेरार्डने शेवटी घुसखोराला कसा पकडला?","त्याला कपाटात बंद केले","पोलीसांना बोलावले","त्याला मारले","पळून गेला","त्याला कपाटात बंद केले","medium","General"
"en","9","English","What tone does Gerrard use with the intruder?","Sarcastic","Angry","Fearful","Silent","Sarcastic","medium","General"
"hi","9","English","गेरार्ड ने घुसपैठिए से किस लहजे में बात की?","व्यंग्यात्मक","गुस्से में","डर से","मौन","व्यंग्यात्मक","medium","General"
"mr","9","English","गेरार्डने घुसखोराशी कोणत्या सुरात बोलले?","उपहासात्मक","रागाने","भीतीने","मौन","उपहासात्मक","medium","General"
"en","9","English","What does 'They can’t hang me twice' mean?","Already guilty of murder","Innocent","Rich","Unknown","Already guilty of murder","hard","General"
"hi","9","English","'वे मुझे दो बार फाँसी नहीं दे सकते' का क्या अर्थ है?","पहले से हत्या का दोषी","निर्दोष","अमीर","अज्ञात","पहले से हत्या का दोषी","hard","General"
"mr","9","English","'ते मला दोनदा फाशी देऊ शकत नाहीत' याचा अर्थ काय?","आधीच खुनाचा दोषी","निर्दोष","श्रीमंत","अज्ञात","आधीच खुनाचा दोषी","hard","General"
"en","9","English","What was Gerrard packing at the beginning?","Bag","Box","Books","Food","Bag","easy","General"
"hi","9","English","कहानी की शुरुआत में गेरार्ड क्या पैक कर रहा था?","बैग","डिब्बा","किताबें","खाना","बैग","easy","General"
"mr","9","English","कथेच्या सुरुवातीला गेरार्ड काय पॅक करत होता?","बॅग","डबा","पुस्तके","अन्न","बॅग","easy","General"
"en","9","English","What did Gerrard pretend to be?","A criminal","Teacher","Doctor","Lawyer","A criminal","medium","General"
"hi","9","English","गेरार्ड ने खुद को क्या दिखावा किया?","एक अपराधी","शिक्षक","डॉक्टर","वकील","एक अपराधी","medium","General"
"mr","9","English","गेरार्डने स्वतःला काय भासवले?","एक गुन्हेगार","शिक्षक","डॉक्टर","वकील","एक गुन्हेगार","medium","General"
"en","9","English","What is the central theme of 'If I Were You'?","Intelligence & presence of mind","Love and sacrifice","War and peace","Wealth and fame","Intelligence & presence of mind","medium","General"
"hi","9","English","'इफ आई वर यू' का मुख्य विषय क्या है?","बुद्धिमत्ता और सूझबूझ","प्रेम और बलिदान","युद्ध और शांति","धन और प्रसिद्धि","बुद्धिमत्ता और सूझबूझ","medium","General"
"mr","9","English","'इफ आय वर यू' चा मुख्य विषय काय आहे?","बुद्धिमत्ता आणि चातुर्य","प्रेम आणि बलिदान","युद्ध आणि शांतता","संपत्ती आणि प्रसिद्धी","बुद्धिमत्ता आणि चातुर्य","medium","General"
"en","9","English","Who is the poet of 'The Road Not Taken'?","Robert Frost","William Wordsworth","W.B. Yeats","Coates Kinney","Robert Frost","easy","General"
"hi","9","English","'द रोड नॉट टेकन' के कवि कौन हैं?","रॉबर्ट फ्रॉस्ट","विलियम वर्ड्सवर्थ","डब्ल्यू.बी. यीट्स","कोट्स किन्नी","रॉबर्ट फ्रॉस्ट","easy","General"
"mr","9","English","'द रोड नॉट टेकन' चे कवी कोण आहेत?","रॉबर्ट फ्रॉस्ट","विल्यम वर्ड्सवर्थ","डब्ल्यू.बी. यीट्स","कोट्स किन्नी","रॉबर्ट फ्रॉस्ट","easy","General"
"en","9","English","Where does the traveller find himself?","In a yellow wood","On a mountain","In a city","In a desert","In a yellow wood","easy","General"
"hi","9","English","यात्री खुद को कहाँ पाता है?","पीले जंगल में","पहाड़ पर","शहर में","रेगिस्तान में","पीले जंगल में","easy","General"
"mr","9","English","प्रवासी स्वतःला कुठे सापडतो?","पिवळ्या जंगलात","डोंगरावर","शहरात","वाळवंटात","पिवळ्या जंगलात","easy","General"
"en","9","English","What problem does the traveller face?","Two roads diverged","No road","Lost way","Too many roads","Two roads diverged","medium","General"
"hi","9","English","यात्री को कौन सी समस्या होती है?","दो रास्ते अलग हो गए","कोई रास्ता नहीं","रास्ता खो गया","बहुत सारे रास्ते","दो रास्ते अलग हो गए","medium","General"
"mr","9","English","प्रवाशाला कोणती समस्या आली?","दोन रस्ते वेगळे झाले","रस्ता नाही","रस्ता हरवला","खूप रस्ते","दोन रस्ते वेगळे झाले","medium","General"
"en","9","English","What does 'wanted wear' mean?","Less used","Very crowded","Newly built","Destroyed","Less used","medium","General"
"hi","9","English","'वांटेड वेयर' का अर्थ क्या है?","कम इस्तेमाल हुआ","बहुत भीड़भाड़ वाला","नया बना हुआ","नष्ट हुआ","कम इस्तेमाल हुआ","medium","General"
"mr","9","English","'वांटेड वेअर' चा अर्थ काय आहे?","कमी वापरलेला","खूप गर्दीचा","नवीन बांधलेला","नष्ट झालेला","कमी वापरलेला","medium","General"
"en","9","English","What did the poet keep for another day?","First road","Second road","Third road","None","First road","medium","General"
"hi","9","English","कवि ने किस रास्ते को किसी और दिन के लिए रखा?","पहला रास्ता","दूसरा रास्ता","तीसरा रास्ता","कोई नहीं","पहला रास्ता","medium","General"
"mr","9","English","कवींनी कोणता रस्ता दुसऱ्या दिवसासाठी ठेवला?","पहिला रस्ता","दुसरा रस्ता","तिसरा रस्ता","कोणताही नाही","पहिला रस्ता","medium","General"
"en","9","English","What does 'ages and ages hence' mean?","In future","In past","In present","In dream","In future","medium","General"
"hi","9","English","'एजेस एंड एजेस हेंस' का अर्थ क्या है?","भविष्य में","अतीत में","वर्तमान में","सपने में","भविष्य में","medium","General"
"mr","9","English","'एजेस अँड एजेस हेंस' चा अर्थ काय आहे?","भविष्यात","भूतकाळात","वर्तमानात","स्वप्नात","भविष्यात","medium","General"
"en","9","English","What choice did the poet make?","The road less travelled","The road more travelled","No road","Both roads","The road less travelled","hard","General"
"hi","9","English","कवि ने कौन सा चुनाव किया?","कम चला हुआ रास्ता","ज्यादा चला हुआ रास्ता","कोई रास्ता नहीं","दोनों रास्ते","कम चला हुआ रास्ता","hard","General"
"mr","9","English","कवींनी कोणता पर्याय निवडला?","कमी चाललेला रस्ता","जास्त चाललेला रस्ता","रस्ता नाही","दोन्ही रस्ते","कमी चाललेला रस्ता","hard","General"
"en","9","English","What is the central theme of the poem?","Choices shape life","Love and sacrifice","War and peace","Wealth and fame","Choices shape life","medium","General"
"hi","9","English","कविता का मुख्य विषय क्या है?","चुनाव जीवन को आकार देते हैं","प्रेम और बलिदान","युद्ध और शांति","धन और प्रसिद्धि","चुनाव जीवन को आकार देते हैं","medium","General"
"mr","9","English","कवितेचा मुख्य विषय काय आहे?","निवडी जीवन घडवतात","प्रेम आणि बलिदान","युद्ध आणि शांतता","संपत्ती आणि प्रसिद्धी","निवडी जीवन घडवतात","medium","General"
"en","9","English","What does 'diverged' mean?","Separated","Joined","Destroyed","Created","Separated","easy","General"
"hi","9","English","'डाइवर्ज्ड' का अर्थ क्या है?","अलग हुआ","जुड़ा","नष्ट हुआ","बनाया गया","अलग हुआ","easy","General"
"mr","9","English","'डायव्हर्ज्ड' चा अर्थ काय आहे?","वेगळा झाला","जोडला","नष्ट झाला","तयार केला","वेगळा झाला","easy","General"
"en","9","English","What feeling does the poet express at the end?","Sigh","Joy","Anger","Fear","Sigh","medium","General"
"hi","9","English","कविता के अंत में कवि कौन सी भावना व्यक्त करता है?","आह","खुशी","गुस्सा","डर","आह","medium","General"
"mr","9","English","कवितेच्या शेवटी कवी कोणती भावना व्यक्त करतो?","सुस्कारा","आनंद","राग","भीती","सुस्कारा","medium","General"
"en","9","English","What does 'the passing there' mean?","People walking","People running","People sleeping","People fighting","People walking","medium","General"
"hi","9","English","'द पासिंग देयर' का अर्थ क्या है?","लोगों का चलना","लोगों का दौड़ना","लोगों का सोना","लोगों का लड़ना","लोगों का चलना","medium","General"
"mr","9","English","'द पासिंग देअर' चा अर्थ काय आहे?","लोक चालणे","लोक धावणे","लोक झोपणे","लोक भांडणे","लोक चालणे","medium","General"
"en","9","English","What does 'trodden black' mean?","Stepped on","Painted","Destroyed","Burnt","Stepped on","medium","General"
"hi","9","English","'ट्रॉडन ब्लैक' का अर्थ क्या है?","पैरों से दबा हुआ","रंगा हुआ","नष्ट हुआ","जला हुआ","पैरों से दबा हुआ","medium","General"
"mr","9","English","'ट्रॉडन ब्लॅक' चा अर्थ काय आहे?","पायाने तुडवलेला","रंगवलेला","नष्ट झालेला","जळलेला","पायाने तुडवलेला","medium","General"
"en","9","English","What does the poet doubt?","Returning again","Going ahead","Meeting friends","Finding treasure","Returning again","medium","General"
"hi","9","English","कवि को किस बात पर संदेह था?","फिर लौटने पर","आगे बढ़ने पर","दोस्तों से मिलने पर","खजाना पाने पर","फिर लौटने पर","medium","General"
"mr","9","English","कवींना कोणत्या गोष्टीवर शंका होती?","पुन्हा परतण्यावर","पुढे जाण्यावर","मित्रांना भेटण्यावर","खजिना मिळण्यावर","पुन्हा परतण्यावर","medium","General"
"en","9","English","What is the message of the poem?","Choices define destiny","Love conquers all","War destroys life","Money brings happiness","Choices define destiny","medium","General"
"hi","9","English","कविता का संदेश क्या है?","चुनाव भाग्य तय करते हैं","प्रेम सब पर विजय पाता है","युद्ध जीवन नष्ट करता है","पैसा खुशी लाता है","चुनाव भाग्य तय करते हैं","medium","General"
"mr","9","English","कवितेचा संदेश काय आहे?","निवडी भाग्य ठरवतात","प्रेम सर्वांवर विजय मिळवते","युद्ध जीवन नष्ट करते","पैसा आनंद आणतो","निवडी भाग्य ठरवतात","medium","General"
"en","9","English","Who is the poet of 'Wind'?","Subramania Bharati","Robert Frost","Coates Kinney","W.B. Yeats","Subramania Bharati","easy","General"
"hi","9","English","'विंड' कविता के कवि कौन हैं?","सुबरमणिया भारती","रॉबर्ट फ्रॉस्ट","कोट्स किन्नी","डब्ल्यू.बी. यीट्स","सुबरमणिया भारती","easy","General"
"mr","9","English","'विंड' कवितेचे कवी कोण आहेत?","सुबरमणिया भारती","रॉबर्ट फ्रॉस्ट","कोट्स किन्नी","डब्ल्यू.बी. यीट्स","सुबरमणिया भारती","easy","General"
"en","9","English","What does the wind break?","Shutters of windows","Books","Doors","All of these","All of these","medium","General"
"hi","9","English","हवा क्या तोड़ देती है?","खिड़कियों के शटर","किताबें","दरवाजे","इन सभी","इन सभी","medium","General"
"mr","9","English","वारा काय तोडतो?","खिडक्यांचे शटर","पुस्तके","दरवाजे","सर्व","सर्व","medium","General"
"en","9","English","What does the wind scatter?","Papers","Clothes","Food","Leaves","Papers","medium","General"
"hi","9","English","हवा क्या बिखेर देती है?","कागज़","कपड़े","भोजन","पत्ते","कागज़","medium","General"
"mr","9","English","वारा काय उधळतो?","कागद","कपडे","अन्न","पाने","कागद","medium","General"
"en","9","English","What does the wind tear?","Pages of books","Clothes","Doors","Windows","Pages of books","medium","General"
"hi","9","English","हवा क्या फाड़ देती है?","किताबों के पन्ने","कपड़े","दरवाजे","खिड़कियाँ","किताबों के पन्ने","medium","General"
"mr","9","English","वारा काय फाडतो?","पुस्तकांची पाने","कपडे","दरवाजे","खिडक्या","पुस्तकांची पाने","medium","General"
"en","9","English","What does the wind god winnow?","Weak bodies & hearts","Strong houses","Mountains","Rivers","Weak bodies & hearts","hard","General"
"hi","9","English","वायु देवता क्या उड़ाते हैं?","कमजोर शरीर और दिल","मजबूत घर","पहाड़","नदियाँ","कमजोर शरीर और दिल","hard","General"
"mr","9","English","वायुदेव काय उडवतात?","कमकुवत शरीर आणि हृदय","मजबूत घरे","डोंगर","नद्या","कमकुवत शरीर आणि हृदय","hard","General"
"en","9","English","What should we do to make friends with the wind?","Build strong homes","Join doors firmly","Make body firm","All of these","All of these","medium","General"
"hi","9","English","हवा से दोस्ती करने के लिए हमें क्या करना चाहिए?","मजबूत घर बनाना","दरवाजे मजबूती से जोड़ना","शरीर को मजबूत करना","इन सभी","इन सभी","medium","General"
"mr","9","English","वाऱ्याशी मैत्री करण्यासाठी आपण काय करावे?","मजबूत घरे बांधणे","दरवाजे घट्ट जोडणे","शरीर मजबूत करणे","सर्व","सर्व","medium","General"
"en","9","English","What does the wind do to weak fires?","Blows them out","Makes them roar","Makes them flourish","Protects them","Blows them out","medium","General"
"hi","9","English","हवा कमजोर आग के साथ क्या करती है?","उसे बुझा देती है","उसे गर्जना कराती है","उसे बढ़ाती है","उसे बचाती है","उसे बुझा देती है","medium","General"
"mr","9","English","वारा कमकुवत आगीबरोबर काय करतो?","ती विझवतो","ती गर्जना करतो","ती वाढवतो","ती वाचवतो","ती विझवतो","medium","General"
"en","9","English","What does the wind do to strong fires?","Makes them roar & flourish","Extinguishes them","Weakens them","Destroys them","Makes them roar & flourish","medium","General"
"hi","9","English","हवा मजबूत आग के साथ क्या करती है?","उसे गर्जना और प्रबल बनाती है","उसे बुझा देती है","उसे कमजोर करती है","उसे नष्ट करती है","उसे गर्जना और प्रबल बनाती है","medium","General"
"mr","9","English","वारा मजबूत आगीबरोबर काय करतो?","ती गर्जना आणि प्रबळ करतो","ती विझवतो","ती कमकुवत करतो","ती नष्ट करतो","ती गर्जना आणि प्रबळ करतो","medium","General"
"en","9","English","What is the tone of the poet towards wind?","Advisory","Angry","Humorous","Sad","Advisory","medium","General"
"hi","9","English","कवि का हवा के प्रति स्वर कैसा है?","सलाह देने वाला","गुस्से वाला","हास्यपूर्ण","दुखी","सलाह देने वाला","medium","General"
"mr","9","English","कवीचा वाऱ्याबद्दल सूर कसा आहे?","सल्ला देणारा","रागीट","विनोदी","दुःखी","सल्ला देणारा","medium","General"
"en","9","English","What does the poet advise us to do?","Be strong","Be weak","Be silent","Be fearful","Be strong","easy","General"
"hi","9","English","कवि हमें क्या करने की सलाह देता है?","मजबूत बनो","कमजोर बनो","मौन रहो","डरो","मजबूत बनो","easy","General"
"mr","9","English","कवी आपल्याला काय करण्याचा सल्ला देतो?","मजबूत व्हा","कमकुवत व्हा","मौन रहा","भीती बाळगा","मजबूत व्हा","easy","General"
"en","9","English","What is the central theme of 'Wind'?","Strength overcomes challenges","Love and sacrifice","War and peace","Wealth and fame","Strength overcomes challenges","medium","General"
"hi","9","English","'विंड' का मुख्य विषय क्या है?","शक्ति चुनौतियों पर विजय पाती है","प्रेम और बलिदान","युद्ध और शांति","धन और प्रसिद्धि","शक्ति चुनौतियों पर विजय पाती है","medium","General"
"mr","9","English","'विंड' चा मुख्य विषय काय आहे?","शक्ती आव्हानांवर विजय मिळवते","प्रेम आणि बलिदान","युद्ध आणि शांतता","संपत्ती आणि प्रसिद्धी","शक्ती आव्हानांवर विजय मिळवते","medium","General"
"en","9","English","What does the wind symbolize?","Challenges","Love","Peace","Money","Challenges","medium","General"
"hi","9","English","हवा किसका प्रतीक है?","चुनौतियों का","प्रेम का","शांति का","पैसे का","चुनौतियों का","medium","General"
"mr","9","English","वारा कशाचे प्रतीक आहे?","आव्हानांचे","प्रेमाचे","शांततेचे","पैशाचे","आव्हानांचे","medium","General"
"en","9","English","What is the poet’s attitude towards weak people?","Critical","Supportive","Indifferent","Joyful","Critical","medium","General"
"hi","9","English","कवि का कमजोर लोगों के प्रति दृष्टिकोण कैसा है?","आलोचनात्मक","सहायक","उदासीन","आनंदित","आलोचनात्मक","medium","General"
"mr","9","English","कवीचा कमकुवत लोकांबद्दल दृष्टिकोन कसा आहे?","टीकात्मक","सहायक","उदासीन","आनंदी","टीकात्मक","medium","General"
"en","9","English","What lesson does the poem teach?","Face difficulties boldly","Run away from problems","Ignore challenges","Depend on others","Face difficulties boldly","medium","General"
"hi","9","English","कविता हमें क्या सिखाती है?","मुश्किलों का साहस से सामना करो","समस्याओं से भागो","चुनौतियों को नजरअंदाज करो","दूसरों पर निर्भर रहो","मुश्किलों का साहस से सामना करो","medium","General"
"mr","9","English","कविता आपल्याला काय शिकवते?","अडचणींना धैर्याने सामोरे जा","समस्यांपासून पळा","आव्हानांकडे दुर्लक्ष करा","इतरांवर अवलंबून रहा","अडचणींना धैर्याने सामोरे जा","medium","General"
"en","9","English","Who is the poet of 'Rain on the Roof'?","Coates Kinney","Robert Frost","W.B. Yeats","James Kirkup","Coates Kinney","easy","General"
"hi","9","English","'रेन ऑन द रूफ' के कवि कौन हैं?","कोट्स किन्नी","रॉबर्ट फ्रॉस्ट","डब्ल्यू.बी. यीट्स","जेम्स किर्कप","कोट्स किन्नी","easy","General"
"mr","9","English","'रेन ऑन द रूफ' चे कवी कोण आहेत?","कोट्स किन्नी","रॉबर्ट फ्रॉस्ट","डब्ल्यू.बी. यीट्स","जेम्स किर्कप","कोट्स किन्नी","easy","General"
"en","9","English","What does the poet enjoy during rain?","Listening to patter","Reading books","Sleeping","Talking","Listening to patter","easy","General"
"hi","9","English","बारिश में कवि क्या आनंद लेता है?","बूंदों की टपक सुनना","किताबें पढ़ना","सोना","बात करना","बूंदों की टपक सुनना","easy","General"
"mr","9","English","पावसात कवी काय आनंद घेतो?","थेंबांची टपक ऐकणे","पुस्तके वाचणे","झोपणे","बोलणे","थेंबांची टपक ऐकणे","easy","General"
"en","9","English","What does 'humid shadows' mean?","Moist clouds","Dry leaves","Dark night","Sunlight","Moist clouds","medium","General"
"hi","9","English","'ह्यूमिड शैडोज़' का अर्थ क्या है?","नमी वाले बादल","सूखे पत्ते","अंधेरी रात","धूप","नमी वाले बादल","medium","General"
"mr","9","English","'ह्युमिड शॅडोज' चा अर्थ काय आहे?","ओलसर ढग","कोरडी पाने","अंधारी रात्र","सूर्यप्रकाश","ओलसर ढग","medium","General"
"en","9","English","What does 'starry spheres' refer to?","Sky","Sea","Forest","Mountains","Sky","medium","General"
"hi","9","English","'स्टारी स्फीयर्स' किसे दर्शाता है?","आकाश","समुद्र","जंगल","पहाड़","आकाश","medium","General"
"mr","9","English","'स्टारी स्फीयर्स' कशाला दर्शवते?","आकाश","समुद्र","जंगल","डोंगर","आकाश","medium","General"
"en","9","English","What is 'bliss' for the poet?","Lying in bed listening to rain","Reading","Talking","Walking","Lying in bed listening to rain","medium","General"
"hi","9","English","कवि के लिए 'ब्लिस' क्या है?","बिस्तर पर लेटकर बारिश सुनना","पढ़ना","बात करना","चलना","बिस्तर पर लेटकर बारिश सुनना","medium","General"
"mr","9","English","कवीसाठी 'ब्लिस' काय आहे?","पलंगावर पडून पाऊस ऐकणे","वाचणे","बोलणे","चालणे","पलंगावर पडून पाऊस ऐकणे","medium","General"
"en","9","English","What does 'tinkle on the shingles' mean?","Raindrops on roof tiles","Bells ringing","Leaves falling","Stones hitting","Raindrops on roof tiles","medium","General"
"hi","9","English","'टिंकल ऑन द शिंगल्स' का अर्थ क्या है?","छत की टाइलों पर बारिश की बूंदें","घंटी बजना","पत्ते गिरना","पत्थर लगना","छत की टाइलों पर बारिश की बूंदें","medium","General"
"mr","9","English","'टिंकल ऑन द शिंगल्स' चा अर्थ काय आहे?","छपराच्या कौलंवर पावसाचे थेंब","घंटा वाजणे","पाने पडणे","दगड लागणे","छपराच्या कौलंवर पावसाचे थेंब","medium","General"
"en","9","English","What memories come to the poet during rain?","Mother’s love","School days","Friends","Travel","Mother’s love","hard","General"
"hi","9","English","बारिश में कवि को कौन सी याद आती है?","माँ का प्यार","स्कूल के दिन","दोस्त","यात्रा","माँ का प्यार","hard","General"
"mr","9","English","पावसात कवीला कोणती आठवण येते?","आईचे प्रेम","शाळेचे दिवस","मित्र","प्रवास","आईचे प्रेम","hard","General"
"en","9","English","Who are 'darling dreamers'?","Children","Friends","Teachers","Travelers","Children","medium","General"
"hi","9","English","'डार्लिंग ड्रीमर' कौन हैं?","बच्चे","दोस्त","शिक्षक","यात्री","बच्चे","medium","General"
"mr","9","English","'डार्लिंग ड्रीमर' कोण आहेत?","मुले","मित्र","शिक्षक","प्रवासी","मुले","medium","General"
"en","9","English","What does 'ere' mean in the poem?","Before","After","During","Later","Before","easy","General"
"hi","9","English","कविता में 'एर' का अर्थ क्या है?","पहले","बाद में","दौरान","बाद में","पहले","easy","General"
"mr","9","English","कवितेत 'एर' चा अर्थ काय आहे?","आधी","नंतर","दरम्यान","उशिरा","आधी","easy","General"
"en","9","English","What does 'refrain' mean here?","Repeated sound of rain","Song","Prayer","Noise","Repeated sound of rain","medium","General"
"hi","9","English","यहाँ 'रिफ्रेन' का अर्थ क्या है?","बारिश की दोहराई गई ध्वनि","गीत","प्रार्थना","शोर","बारिश की दोहराई गई ध्वनि","medium","General"
"mr","9","English","येथे 'रिफ्रेन' चा अर्थ काय आहे?","पावसाची पुनरावृत्ती झालेली ध्वनी","गीत","प्रार्थना","गोंगाट","पावसाची पुनरावृत्ती झालेली ध्वनी","medium","General"
"en","9","English","What is the central theme of 'Rain on the Roof'?","Rain evokes nostalgia","Love and sacrifice","War and peace","Wealth and fame","Rain evokes nostalgia","medium","General"
"hi","9","English","'रेन ऑन द रूफ' का मुख्य विषय क्या है?","बारिश पुरानी यादें जगाती है","प्रेम और बलिदान","युद्ध और शांति","धन और प्रसिद्धि","बारिश पुरानी यादें जगाती है","medium","General"
"mr","9","English","'रेन ऑन द रूफ' चा मुख्य विषय काय आहे?","पाऊस जुन्या आठवणी जागवतो","प्रेम आणि बलिदान","युद्ध आणि शांतता","संपत्ती आणि प्रसिद्धी","पाऊस जुन्या आठवणी जागवतो","medium","General"
"en","9","English","What does the poet feel when listening to rain?","Joy & nostalgia","Fear","Anger","Confusion","Joy & nostalgia","medium","General"
"hi","9","English","बारिश सुनते समय कवि क्या महसूस करता है?","खुशी और पुरानी यादें","डर","गुस्सा","भ्रम","खुशी और पुरानी यादें","medium","General"
"mr","9","English","पाऊस ऐकताना कवी काय अनुभवतो?","आनंद आणि जुन्या आठवणी","भीती","राग","गोंधळ","आनंद आणि जुन्या आठवणी","medium","General"
"en","9","English","What does the poem highlight?","Bond with mother","Friendship","War","Money","Bond with mother","medium","General"
"hi","9","English","कविता किस पर प्रकाश डालती है?","माँ के साथ संबंध","दोस्ती","युद्ध","पैसा","माँ के साथ संबंध","medium","General"
"mr","9","English","कविता कशावर प्रकाश टाकते?","आईशी नाते","मैत्री","युद्ध","पैसा","आईशी नाते","medium","General"
"en","9","English","What is the mood of the poem?","Dreamy & nostalgic","Angry","Sad","Humorous","Dreamy & nostalgic","medium","General"
"hi","9","English","कविता का मूड कैसा है?","सपनीला और पुरानी यादों वाला","गुस्से वाला","दुखी","हास्यपूर्ण","सपनीला और पुरानी यादों वाला","medium","General"
"mr","9","English","कवितेचा मूड कसा आहे?","स्वप्नाळू आणि जुन्या आठवणींचा","रागीट","दुःखी","विनोदी","स्वप्नाळू आणि जुन्या आठवणींचा","medium","General"
"en","9","English","Who is the poet of 'The Lake Isle of Innisfree'?","W.B. Yeats","Robert Frost","Coates Kinney","James Kirkup","W.B. Yeats","easy","General"
"hi","9","English","'द लेक आइल ऑफ इनिसफ्री' के कवि कौन हैं?","डब्ल्यू.बी. यीट्स","रॉबर्ट फ्रॉस्ट","कोट्स किन्नी","जेम्स किर्कप","डब्ल्यू.बी. यीट्स","easy","General"
"mr","9","English","'द लेक आइल ऑफ इनिसफ्री' चे कवी कोण आहेत?","डब्ल्यू.बी. यीट्स","रॉबर्ट फ्रॉस्ट","कोट्स किन्नी","जेम्स किर्कप","डब्ल्यू.बी. यीट्स","easy","General"
"en","9","English","Where does the poet want to go?","Innisfree","London","Paris","Dublin","Innisfree","easy","General"
"hi","9","English","कवि कहाँ जाना चाहता है?","इनिसफ्री","लंदन","पेरिस","डबलिन","इनिसफ्री","easy","General"
"mr","9","English","कवी कुठे जायचे इच्छितो?","इनिसफ्री","लंडन","पॅरिस","डब्लिन","इनिसफ्री","easy","General"
"en","9","English","What will the poet build there?","Small cabin","Big house","Palace","Temple","Small cabin","medium","General"
"hi","9","English","कवि वहाँ क्या बनाएगा?","छोटी झोपड़ी","बड़ा घर","महल","मंदिर","छोटी झोपड़ी","medium","General"
"mr","9","English","कवी तिथे काय बांधेल?","लहान झोपडी","मोठे घर","महल","मंदिर","लहान झोपडी","medium","General"
"en","9","English","What will the cabin be made of?","Clay & wattles","Wood & stone","Brick & cement","Iron & steel","Clay & wattles","medium","General"
"hi","9","English","झोपड़ी किससे बनेगी?","मिट्टी और टहनियाँ","लकड़ी और पत्थर","ईंट और सीमेंट","लोहा और स्टील","मिट्टी और टहनियाँ","medium","General"
"mr","9","English","झोपडी कशाने बनवली जाईल?","माती आणि काटक्या","लाकूड आणि दगड","विटा आणि सिमेंट","लोखंड आणि स्टील","माती आणि काटक्या","medium","General"
"en","9","English","What will the poet plant?","Nine bean rows","Ten mango trees","Five apple trees","Seven rose plants","Nine bean rows","medium","General"
"hi","9","English","कवि क्या लगाएगा?","नौ सेम की कतारें","दस आम के पेड़","पाँच सेब के पेड़","सात गुलाब के पौधे","नौ सेम की कतारें","medium","General"
"mr","9","English","कवी काय लावेल?","नऊ शेंगांच्या रांगा","दहा आंब्याची झाडे","पाच सफरचंदाची झाडे","सात गुलाबाची झाडे","नऊ शेंगांच्या रांगा","medium","General"
"en","9","English","What will the poet keep for bees?","Hive","Jar","Box","Pot","Hive","medium","General"
"hi","9","English","कवि मधुमक्खियों के लिए क्या रखेगा?","छत्ता","जार","डिब्बा","घड़ा","छत्ता","medium","General"
"mr","9","English","कवी मधमाशांसाठी काय ठेवेल?","पोळे","जार","डबा","भांडे","पोळे","medium","General"
"en","9","English","What kind of peace will the poet have?","Dropping slow","Fast","No peace","Angry peace","Dropping slow","hard","General"
"hi","9","English","कवि को कैसी शांति मिलेगी?","धीरे-धीरे उतरती","तेज़","कोई शांति नहीं","गुस्से वाली शांति","धीरे-धीरे उतरती","hard","General"
"mr","9","English","कवीला कशी शांती मिळेल?","हळूहळू उतरणारी","वेगवान","शांती नाही","रागीट शांती","हळूहळू उतरणारी","hard","General"
"en","9","English","What sounds will the poet hear?","Cricket song","Linnet’s wings","Bee buzz","All of these","All of these","medium","General"
"hi","9","English","कवि कौन सी आवाजें सुनेगा?","झींगुर का गीत","लिनेट के पंख","मधुमक्खियों की भनभन","इन सभी","इन सभी","medium","General"
"mr","9","English","कवी कोणते आवाज ऐकेल?","झिंगुराचे गाणे","लिनेटचे पंख","मधमाशांची गुंजारव","सर्व","सर्व","medium","General"
"en","9","English","What time will the poet see glimmer?","Midnight","Noon","Morning","Evening","Midnight","medium","General"
"hi","9","English","कवि कब चमक देखेगा?","मध्यरात्रि","दोपहर","सुबह","शाम","मध्यरात्रि","medium","General"
"mr","9","English","कवीला कधी चमक दिसेल?","मध्यरात्र","दुपार","सकाळ","संध्याकाळ","मध्यरात्र","medium","General"
"en","9","English","What will the poet see at noon?","Purple glow","Golden light","Silver shine","Darkness","Purple glow","medium","General"
"hi","9","English","कवि दोपहर में क्या देखेगा?","बैंगनी चमक","सुनहरी रोशनी","चाँदी की चमक","अंधकार","बैंगनी चमक","medium","General"
"mr","9","English","कवीला दुपारी काय दिसेल?","जांभळा तेज","सोनरी प्रकाश","चांदीची चमक","अंधार","जांभळा तेज","medium","General"
"en","9","English","What will the poet see in evening?","Linnet’s wings","Stars","Clouds","Sunset","Linnet’s wings","medium","General"
"hi","9","English","कवि शाम को क्या देखेगा?","लिनेट के पंख","तारे","बादल","सूर्यास्त","लिनेट के पंख","medium","General"
"mr","9","English","कवीला संध्याकाळी काय दिसेल?","लिनेटचे पंख","तारे","ढग","सूर्यास्त","लिनेटचे पंख","medium","General"
"en","9","English","Where does the poet hear lake water lapping?","In his heart’s core","In his mind","In his dream","In his ear","In his heart’s core","medium","General"
"hi","9","English","कवि झील का पानी कहाँ सुनता है?","अपने हृदय के भीतर","अपने मन में","अपने सपने में","अपने कान में","अपने हृदय के भीतर","medium","General"
