topic,question,option1,option2,option3,option4,correct_answer,difficulty,language
Nutrition,What is nutrition?,Process of taking food,Incorrect option 2,Incorrect option 1,Incorrect option 3,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Process of taking food (मराठी),easy,mr
Force,What is force?,Incorrect option 3,Incorrect option 2,Incorrect option 1,Push or pull,Push or pull,easy,en
Force,What is force? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),Push or pull (हिंदी),easy,hi
Force,What is force? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),Push or pull (मराठी),easy,mr
Mensuration,What is mensuration?,Measurement of shapes,Incorrect option 1,Incorrect option 3,Incorrect option 2,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),easy,mr
Nutrition,What is nutrition?,Incorrect option 3,Incorrect option 2,Process of taking food,Incorrect option 1,Process of taking food,medium,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),Incorrect option 1 (हिंदी),Process of taking food (हिंदी),medium,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),Incorrect option 1 (मराठी),Process of taking food (मराठी),medium,mr
Mensuration,What is mensuration?,Measurement of shapes,Incorrect option 1,Incorrect option 2,Incorrect option 3,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),easy,mr
Mensuration,What is mensuration?,Incorrect option 3,Incorrect option 2,Incorrect option 1,Measurement of shapes,Measurement of shapes,medium,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Measurement of shapes (हिंदी),Measurement of shapes (हिंदी),medium,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Measurement of shapes (मराठी),Measurement of shapes (मराठी),medium,mr
Force,What is force?,Incorrect option 3,Incorrect option 1,Push or pull,Incorrect option 2,Push or pull,medium,en
Force,What is force? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),Incorrect option 2 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),Incorrect option 2 (मराठी),Push or pull (मराठी),medium,mr
Mensuration,What is mensuration?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Measurement of shapes,Measurement of shapes,medium,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),Measurement of shapes (हिंदी),medium,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),Measurement of shapes (मराठी),medium,mr
Transportation,What is transportation?,Incorrect option 1,Incorrect option 2,Movement of substances,Incorrect option 3,Movement of substances,easy,en
Transportation,What is transportation? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Movement of substances (हिंदी),Incorrect option 3 (हिंदी),Movement of substances (हिंदी),easy,hi
Transportation,What is transportation? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Movement of substances (मराठी),Incorrect option 3 (मराठी),Movement of substances (मराठी),easy,mr
Energy,What is energy?,Incorrect option 3,Incorrect option 1,Ability to do work,Incorrect option 2,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),Incorrect option 2 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),Incorrect option 2 (मराठी),Ability to do work (मराठी),medium,mr
Data Handling,What is data handling?,Collecting and analyzing data,Incorrect option 1,Incorrect option 3,Incorrect option 2,Collecting and analyzing data,easy,en
Data Handling,What is data handling? (हिंदी),Collecting and analyzing data (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Collecting and analyzing data (हिंदी),easy,hi
Data Handling,What is data handling? (मराठी),Collecting and analyzing data (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Collecting and analyzing data (मराठी),easy,mr
Light,What is light?,Incorrect option 1,Form of energy,Incorrect option 3,Incorrect option 2,Form of energy,medium,en
Light,What is light? (हिंदी),Incorrect option 1 (हिंदी),Form of energy (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Incorrect option 1 (मराठी),Form of energy (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),medium,mr
Light,What is light?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Form of energy,Form of energy,medium,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Form of energy (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Form of energy (मराठी),Form of energy (मराठी),medium,mr
Electricity,What is electricity?,Flow of charge,Incorrect option 1,Incorrect option 2,Incorrect option 3,Flow of charge,easy,en
Electricity,What is electricity? (हिंदी),Flow of charge (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),easy,hi
Electricity,What is electricity? (मराठी),Flow of charge (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 1,Equation of degree one,Incorrect option 2,Incorrect option 3,Equation of degree one,easy,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),easy,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),easy,mr
Energy,What is energy?,Incorrect option 2,Incorrect option 1,Incorrect option 3,Ability to do work,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Ability to do work (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Ability to do work (मराठी),Ability to do work (मराठी),medium,mr
Light,What is light?,Incorrect option 2,Form of energy,Incorrect option 1,Incorrect option 3,Form of energy,medium,en
Light,What is light? (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Form of energy (हिंदी),medium,hi
Light,What is light? (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Form of energy (मराठी),medium,mr
Energy,What is energy?,Incorrect option 2,Ability to do work,Incorrect option 3,Incorrect option 1,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Incorrect option 2 (हिंदी),Ability to do work (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Incorrect option 2 (मराठी),Ability to do work (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),medium,mr
Mensuration,What is mensuration?,Incorrect option 3,Incorrect option 1,Incorrect option 2,Measurement of shapes,Measurement of shapes,medium,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),Measurement of shapes (हिंदी),medium,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),Measurement of shapes (मराठी),medium,mr
Energy,What is energy?,Ability to do work,Incorrect option 2,Incorrect option 3,Incorrect option 1,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Ability to do work (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Ability to do work (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),medium,mr
Transportation,What is transportation?,Incorrect option 3,Incorrect option 1,Movement of substances,Incorrect option 2,Movement of substances,easy,en
Transportation,What is transportation? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Movement of substances (हिंदी),Incorrect option 2 (हिंदी),Movement of substances (हिंदी),easy,hi
Transportation,What is transportation? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Movement of substances (मराठी),Incorrect option 2 (मराठी),Movement of substances (मराठी),easy,mr
Fractions,What is a fraction?,Incorrect option 3,Incorrect option 1,Incorrect option 2,Part of a whole,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Part of a whole (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Part of a whole (मराठी),Part of a whole (मराठी),easy,mr
Linear Equations,What is a linear equation?,Equation of degree one,Incorrect option 1,Incorrect option 2,Incorrect option 3,Equation of degree one,easy,en
Linear Equations,What is a linear equation? (हिंदी),Equation of degree one (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),easy,hi
Linear Equations,What is a linear equation? (मराठी),Equation of degree one (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),easy,mr
Force,What is force?,Incorrect option 3,Incorrect option 1,Incorrect option 2,Push or pull,Push or pull,easy,en
Force,What is force? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Push or pull (हिंदी),Push or pull (हिंदी),easy,hi
Force,What is force? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Push or pull (मराठी),Push or pull (मराठी),easy,mr
Nutrition,What is nutrition?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Process of taking food,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),Process of taking food (मराठी),easy,mr
Nutrition,What is nutrition?,Incorrect option 3,Incorrect option 1,Process of taking food,Incorrect option 2,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),easy,mr
Fractions,What is a fraction?,Incorrect option 2,Part of a whole,Incorrect option 3,Incorrect option 1,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 2 (हिंदी),Part of a whole (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 2 (मराठी),Part of a whole (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),easy,mr
Geometry,What is geometry?,Incorrect option 3,Study of shapes,Incorrect option 2,Incorrect option 1,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Incorrect option 3 (हिंदी),Study of shapes (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Incorrect option 3 (मराठी),Study of shapes (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Study of shapes (मराठी),medium,mr
Energy,What is energy?,Incorrect option 1,Ability to do work,Incorrect option 2,Incorrect option 3,Ability to do work,easy,en
Energy,What is energy? (हिंदी),Incorrect option 1 (हिंदी),Ability to do work (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Ability to do work (हिंदी),easy,hi
Energy,What is energy? (मराठी),Incorrect option 1 (मराठी),Ability to do work (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Ability to do work (मराठी),easy,mr
Energy,What is energy?,Ability to do work,Incorrect option 1,Incorrect option 2,Incorrect option 3,Ability to do work,easy,en
Energy,What is energy? (हिंदी),Ability to do work (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Ability to do work (हिंदी),easy,hi
Energy,What is energy? (मराठी),Ability to do work (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Ability to do work (मराठी),easy,mr
Geometry,What is geometry?,Study of shapes,Incorrect option 1,Incorrect option 3,Incorrect option 2,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Study of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Study of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Study of shapes (मराठी),medium,mr
Light,What is light?,Incorrect option 1,Incorrect option 3,Form of energy,Incorrect option 2,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Form of energy (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Form of energy (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),easy,mr
Force,What is force?,Push or pull,Incorrect option 2,Incorrect option 3,Incorrect option 1,Push or pull,medium,en
Force,What is force? (हिंदी),Push or pull (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Push or pull (हिंदी),medium,hi
Force,What is force? (मराठी),Push or pull (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Push or pull (मराठी),medium,mr
Light,What is light?,Incorrect option 3,Form of energy,Incorrect option 1,Incorrect option 2,Form of energy,easy,en
Light,What is light? (हिंदी),Incorrect option 3 (हिंदी),Form of energy (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Form of energy (हिंदी),easy,hi
Light,What is light? (मराठी),Incorrect option 3 (मराठी),Form of energy (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Form of energy (मराठी),easy,mr
Mensuration,What is mensuration?,Measurement of shapes,Incorrect option 1,Incorrect option 2,Incorrect option 3,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),easy,mr
Motion,What is motion?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Change in position,Change in position,medium,en
Motion,What is motion? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Change in position (हिंदी),Change in position (हिंदी),medium,hi
Motion,What is motion? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Change in position (मराठी),Change in position (मराठी),medium,mr
Fractions,What is a fraction?,Incorrect option 1,Incorrect option 3,Part of a whole,Incorrect option 2,Part of a whole,medium,en
Fractions,What is a fraction? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Part of a whole (हिंदी),Incorrect option 2 (हिंदी),Part of a whole (हिंदी),medium,hi
Fractions,What is a fraction? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Part of a whole (मराठी),Incorrect option 2 (मराठी),Part of a whole (मराठी),medium,mr
Fractions,What is a fraction?,Incorrect option 3,Part of a whole,Incorrect option 2,Incorrect option 1,Part of a whole,easy,en
Fractions,What is a fraction? (हिंदी),Incorrect option 3 (हिंदी),Part of a whole (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Part of a whole (हिंदी),easy,hi
Fractions,What is a fraction? (मराठी),Incorrect option 3 (मराठी),Part of a whole (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Part of a whole (मराठी),easy,mr
Respiration,What is respiration?,Incorrect option 1,Releasing energy from food,Incorrect option 3,Incorrect option 2,Releasing energy from food,easy,en
Respiration,What is respiration? (हिंदी),Incorrect option 1 (हिंदी),Releasing energy from food (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Releasing energy from food (हिंदी),easy,hi
Respiration,What is respiration? (मराठी),Incorrect option 1 (मराठी),Releasing energy from food (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Releasing energy from food (मराठी),easy,mr
Mensuration,What is mensuration?,Incorrect option 2,Incorrect option 1,Measurement of shapes,Incorrect option 3,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Measurement of shapes (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Measurement of shapes (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),easy,mr
Algebra,What is algebra?,Incorrect option 1,Use of symbols,Incorrect option 3,Incorrect option 2,Use of symbols,medium,en
Algebra,What is algebra? (हिंदी),Incorrect option 1 (हिंदी),Use of symbols (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Use of symbols (हिंदी),medium,hi
Algebra,What is algebra? (मराठी),Incorrect option 1 (मराठी),Use of symbols (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Use of symbols (मराठी),medium,mr
Mensuration,What is mensuration?,Incorrect option 3,Measurement of shapes,Incorrect option 1,Incorrect option 2,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),easy,mr
Data Handling,What is data handling?,Incorrect option 1,Incorrect option 3,Incorrect option 2,Collecting and analyzing data,Collecting and analyzing data,medium,en
Data Handling,What is data handling? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Collecting and analyzing data (हिंदी),Collecting and analyzing data (हिंदी),medium,hi
Data Handling,What is data handling? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Collecting and analyzing data (मराठी),Collecting and analyzing data (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 3,Flow of charge,Incorrect option 2,Incorrect option 1,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Flow of charge (मराठी),medium,mr
Algebra,What is algebra?,Incorrect option 2,Use of symbols,Incorrect option 1,Incorrect option 3,Use of symbols,easy,en
Algebra,What is algebra? (हिंदी),Incorrect option 2 (हिंदी),Use of symbols (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Use of symbols (हिंदी),easy,hi
Algebra,What is algebra? (मराठी),Incorrect option 2 (मराठी),Use of symbols (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Use of symbols (मराठी),easy,mr
Mensuration,What is mensuration?,Incorrect option 2,Measurement of shapes,Incorrect option 1,Incorrect option 3,Measurement of shapes,easy,en
Mensuration,What is mensuration? (हिंदी),Incorrect option 2 (हिंदी),Measurement of shapes (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Measurement of shapes (हिंदी),easy,hi
Mensuration,What is mensuration? (मराठी),Incorrect option 2 (मराठी),Measurement of shapes (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Measurement of shapes (मराठी),easy,mr
Energy,What is energy?,Ability to do work,Incorrect option 1,Incorrect option 3,Incorrect option 2,Ability to do work,medium,en
Energy,What is energy? (हिंदी),Ability to do work (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 2 (हिंदी),Ability to do work (हिंदी),medium,hi
Energy,What is energy? (मराठी),Ability to do work (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Incorrect option 2 (मराठी),Ability to do work (मराठी),medium,mr
Linear Equations,What is a linear equation?,Incorrect option 3,Equation of degree one,Incorrect option 2,Incorrect option 1,Equation of degree one,medium,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Equation of degree one (हिंदी),medium,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Equation of degree one (मराठी),medium,mr
Nutrition,What is nutrition?,Incorrect option 1,Incorrect option 3,Process of taking food,Incorrect option 2,Process of taking food,easy,en
Nutrition,What is nutrition? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Process of taking food (हिंदी),Incorrect option 2 (हिंदी),Process of taking food (हिंदी),easy,hi
Nutrition,What is nutrition? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Process of taking food (मराठी),Incorrect option 2 (मराठी),Process of taking food (मराठी),easy,mr
Electricity,What is electricity?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Flow of charge,Flow of charge,easy,en
Electricity,What is electricity? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),Flow of charge (हिंदी),easy,hi
Electricity,What is electricity? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),Flow of charge (मराठी),easy,mr
Geometry,What is geometry?,Incorrect option 1,Incorrect option 3,Study of shapes,Incorrect option 2,Study of shapes,easy,en
Geometry,What is geometry? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 3 (हिंदी),Study of shapes (हिंदी),Incorrect option 2 (हिंदी),Study of shapes (हिंदी),easy,hi
Geometry,What is geometry? (मराठी),Incorrect option 1 (मराठी),Incorrect option 3 (मराठी),Study of shapes (मराठी),Incorrect option 2 (मराठी),Study of shapes (मराठी),easy,mr
Linear Equations,What is a linear equation?,Incorrect option 3,Equation of degree one,Incorrect option 1,Incorrect option 2,Equation of degree one,easy,en
Linear Equations,What is a linear equation? (हिंदी),Incorrect option 3 (हिंदी),Equation of degree one (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Equation of degree one (हिंदी),easy,hi
Linear Equations,What is a linear equation? (मराठी),Incorrect option 3 (मराठी),Equation of degree one (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Equation of degree one (मराठी),easy,mr
Algebra,What is algebra?,Incorrect option 3,Use of symbols,Incorrect option 2,Incorrect option 1,Use of symbols,easy,en
Algebra,What is algebra? (हिंदी),Incorrect option 3 (हिंदी),Use of symbols (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 1 (हिंदी),Use of symbols (हिंदी),easy,hi
Algebra,What is algebra? (मराठी),Incorrect option 3 (मराठी),Use of symbols (मराठी),Incorrect option 2 (मराठी),Incorrect option 1 (मराठी),Use of symbols (मराठी),easy,mr
Electricity,What is electricity?,Incorrect option 1,Incorrect option 2,Incorrect option 3,Flow of charge,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 1 (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Flow of charge (हिंदी),Flow of charge (हिंदी),medium,hi
Electricity,What is electricity? (मराठी),Incorrect option 1 (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Flow of charge (मराठी),Flow of charge (मराठी),medium,mr
Geometry,What is geometry?,Study of shapes,Incorrect option 2,Incorrect option 3,Incorrect option 1,Study of shapes,medium,en
Geometry,What is geometry? (हिंदी),Study of shapes (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Study of shapes (हिंदी),medium,hi
Geometry,What is geometry? (मराठी),Study of shapes (मराठी),Incorrect option 2 (मराठी),Incorrect option 3 (मराठी),Incorrect option 1 (मराठी),Study of shapes (मराठी),medium,mr
Electricity,What is electricity?,Incorrect option 2,Incorrect option 3,Incorrect option 1,Flow of charge,Flow of charge,medium,en
Electricity,What is electricity? (हिंदी),Incorrect option 2 (हिंदी),Incorrect option 3 (हिंदी),Incorrect option 1 (हिंदी),Flow of charge (हिंदी),Flow of charge (हिंदी),medium,hi
